id,keyword,location,text,target,DateTime,Cleaned_Tweet,Latitude,Longitude,Is_Fake,Fake_Score
826,battle,Australia,"#LonePine remembered around Australia as 'descendants' grow via @666canberra #Gallipoli #WW1
http://t.co/T4fvVnRPc5 http://t.co/0zZnbVFUVO",0,2022-05-28 22:21:00,lonepine remembered around australia descendants grow via gallipoli ww,,,True,0.3283318281173706
1303,bloody,"Adelaide, South Australia",@MrTophyPup it's bloody sexy *drools*,0,2017-10-04 12:43:00,bloody sexy drools,,,True,0.4697602391242981
2399,collapsed,"Perth, Western Australia",@xDescry I was wrong to call it trusty actually.. considering it spontaneously collapsed on me that's not very trusty.,1,2015-08-17 13:52:00,wrong call trusty actually considering spontaneously collapsed thats trusty,,,True,0.35800498723983765
2579,crash,"  Melbourne, Australia",@DestinyTheGame @Bungie @PlayStation Getting kicked out by that crash is one of the worst experiences I've had playing video games.,0,2018-05-27 15:27:00,getting kicked crash one worst experiences ive playing video games,,,True,0.49361759424209595
4877,explode,Australia,It's cold and my head wants to explode.. The joys of working from home - I'm going back to bed / peace out ????,0,2016-03-06 23:39:00,cold head wants explode joys working home im going back bed peace,,,True,0.39826393127441406
6625,inundated,"UK, Republic of Ireland and Australia",Inundated with employee holiday request paperwork? Our cloud based HR software @hronlinetweets will help simplify your staffing logistics.,0,2020-01-19 13:53:00,inundated employee holiday request paperwork cloud based hr software help simplify staffing logistics,,,True,0.41084402799606323
6849,mass%20murder,"Victoria, Australia, Earth",@samanthaturne19 It was... Nagaski another act of mass murder sanctioned and forgiven cause the Allies won... Not by me.,1,2017-09-16 15:38:00,nagaski another act mass murder sanctioned forgiven cause allies,,,True,0.35700660943984985
6855,mass%20murder,"Victoria, Australia, Earth",@samanthaturne19 IIt may logically have been the right call... maybe... But it's an act of mass murder and I can't sanction it.,1,2017-05-16 17:54:00,iit may logically right call maybe act mass murder cant sanction,,,True,0.22365382313728333
8039,refugees,Australia,Newlyweds feed thousands of Syrian refugees instead of hosting a banquet wedding dinner http://t.co/EGcv7ybjae #Age #news,0,2021-04-26 07:54:00,newlyweds feed thousands syrian refugees instead hosting banquet wedding dinner age news,-24.7761086,134.755,True,0.09979367256164551
8577,screams,"Melbourne, Australia.",@OllyMursAus I do feel sorry for him! He is not a piece of meat! He is a nice guy... People don't need to rush him and screams in his face!,1,2022-11-08 04:45:00,feel sorry piece meat nice guy people dont need rush screams face,-37.8142454,144.9631732,True,0.036413658410310745
8908,snowstorm,Australia,@Habbo bring back games from the past. Snowstorm. Tic tac toe. Battleships. Fast food. Matchwood.,1,2016-08-30 02:53:00,bring back games past snowstorm tic tac toe battleships fast food matchwood,-24.7761086,134.755,True,0.36262425780296326
9910,trouble,"Gold Coast, Australia",19 Things You'll Understand If You Have Trouble Talking to People http://t.co/sHaZNLMsFE,0,2018-05-25 14:42:00,things youll understand trouble talking people,-28.0023731,153.4145987,True,0.191402867436409
3182,deluge,Australia,Audio: 16 Business Owners Share What They Would Do Differently Pt1 http://t.co/9uTqe9ZfDE,0,2019-09-18 03:54:00,audio business owners share would differently pt,-24.7761086,134.755,True,0.3451472222805023
8079,rescue,Australia,"Lunch for the crew is made. Night night it's been a long day! 
~Peace~Love~Rescue~",0,2015-07-24 23:16:00,lunch crew made night night long day peaceloverescue,-24.7761086,134.755,True,0.38659045100212097
